method,error_rate,ci_lower,ci_upper,n_sessions
Baseline,0.0003414742190977306,0.00031406212448326586,0.00036888631371219535,756
Drift-Aware,0.0001316364579505967,0.00012713403604542488,0.00013613887985576854,756
