backend,distance,strategy,fano_factor_mean,fano_factor_std,adjacent_correlation_mean,adjacent_correlation_std,syndrome_burst_count_mean,syndrome_burst_count_std
ibm_brisbane,3,baseline_static,0.8348456646502249,0.03273685698783373,0.08628694117305394,0.0386355117762862,119.14285714285714,8.663271022446564
ibm_brisbane,3,drift_aware_full_stack,0.8590429657204901,0.02819714415785578,0.0787833939123315,0.0447844685504195,86.0,6.120736445408048
ibm_brisbane,5,baseline_static,0.8357747395833334,0.026602922911689548,0.07815749723173078,0.02462917328253441,199.97619047619048,9.638561007966766
ibm_brisbane,5,drift_aware_full_stack,0.8600609188988095,0.02602199737615285,0.07850855002652331,0.03254579593214228,143.33333333333334,12.592422550528422
ibm_brisbane,7,baseline_static,0.8302522962446227,0.02920769528329905,0.08447500115126874,0.022331861405331412,283.64285714285717,13.10338148234176
ibm_brisbane,7,drift_aware_full_stack,0.8585546531134254,0.02463815740864583,0.07449414434953004,0.028346132411389356,201.97619047619048,12.156475931979017
ibm_kyoto,3,baseline_static,0.861699239956569,0.019846931448245973,0.06351436337661455,0.038110499863183586,121.14285714285714,8.891134056371122
ibm_kyoto,3,drift_aware_full_stack,0.8786838839770436,0.023159189600016315,0.06812262851166598,0.03399844278537089,86.88095238095238,8.617062996207231
ibm_kyoto,5,baseline_static,0.8604561941964286,0.023930164373210126,0.06767563555322986,0.02821103677505857,203.42857142857142,10.274626234120202
ibm_kyoto,5,drift_aware_full_stack,0.8819870721726191,0.021751883580881884,0.060593719627790386,0.030917262640078304,144.02380952380952,10.60024872059348
ibm_kyoto,7,baseline_static,0.8583553407411099,0.02424083903579719,0.06608304342626643,0.024859680939225297,281.64285714285717,12.135055907639368
ibm_kyoto,7,drift_aware_full_stack,0.8839835899480126,0.016683641043792854,0.06282328237954712,0.023579084069187642,201.0,12.103214650581423
ibm_osaka,3,baseline_static,0.8344384985264464,0.02925879604334604,0.0828067027685793,0.0356259197031172,123.23809523809524,7.440199065687016
ibm_osaka,3,drift_aware_full_stack,0.8631727935473864,0.02725365273984025,0.0824123307234653,0.03752236650286743,85.21428571428571,7.763377798562012
ibm_osaka,5,baseline_static,0.8390183221726191,0.027890260733044726,0.07168713275198517,0.03201448610378505,200.3095238095238,10.31335410710035
ibm_osaka,5,drift_aware_full_stack,0.8614908854166666,0.02706708963700683,0.0701117941210532,0.029963519594444956,144.61904761904762,11.864997468373366
ibm_osaka,7,baseline_static,0.836015745677413,0.027552681655334102,0.07826714563138396,0.027788361030795405,280.8333333333333,13.127733939030906
ibm_osaka,7,drift_aware_full_stack,0.860705565797997,0.021974502520776693,0.07183975511283938,0.02807000887656311,197.42857142857142,11.201356314092559
