session_id,baseline_error,adaptive_error,backend
session_0_0_ibm_brisbane,0.00030830032354739765,0.00010424316087668145,ibm_brisbane
session_0_0_ibm_kyoto,0.0002469679677138429,0.0001,ibm_kyoto
session_0_0_ibm_osaka,0.0002460977505711541,0.00010592097373170172,ibm_osaka
session_0_1_ibm_brisbane,0.0003333343505659034,0.00011174507479946876,ibm_brisbane
session_0_1_ibm_kyoto,0.00021368238292841858,0.00011894930902757855,ibm_kyoto
session_0_1_ibm_osaka,0.0003464670457416755,0.00010253029304843745,ibm_osaka
session_0_2_ibm_brisbane,0.0002431467660034962,0.00013544531722407802,ibm_brisbane
session_0_2_ibm_kyoto,0.0002391727477247147,0.00013574810208691936,ibm_kyoto
session_0_2_ibm_osaka,0.00031608019917250547,0.00011625640580004624,ibm_osaka
session_0_3_ibm_brisbane,0.00033198305602146584,0.00015545769184749367,ibm_brisbane
session_0_3_ibm_kyoto,0.0002755883372969491,0.00011974242207049781,ibm_kyoto
session_0_3_ibm_osaka,0.00044105257113426336,0.0001443747902494725,ibm_osaka
session_0_4_ibm_brisbane,0.0005565805318010799,0.0001948373313607697,ibm_brisbane
session_0_4_ibm_kyoto,0.0003368446295564278,0.00013793913298407897,ibm_kyoto
session_0_4_ibm_osaka,0.00039931762584377475,0.00013557952017174968,ibm_osaka
session_0_5_ibm_brisbane,0.00048205675189105665,0.00014647998188841894,ibm_brisbane
session_0_5_ibm_kyoto,0.0003286791575242781,0.0001297147392584665,ibm_kyoto
session_0_5_ibm_osaka,0.0004019985241125834,0.00021538548360860378,ibm_osaka
session_10_0_ibm_brisbane,0.0003118973992606514,0.00012241193499036522,ibm_brisbane
session_10_0_ibm_kyoto,0.00023257529930608315,0.0001,ibm_kyoto
session_10_0_ibm_osaka,0.00030792496480033175,0.00013568517084373873,ibm_osaka
session_10_1_ibm_brisbane,0.00031064899830489183,0.0001181048612009729,ibm_brisbane
session_10_1_ibm_kyoto,0.00021581330408918312,0.00010662065852869733,ibm_kyoto
session_10_1_ibm_osaka,0.0003036841967363164,0.00011061983618381169,ibm_osaka
session_10_2_ibm_brisbane,0.00031989126227051557,0.000122212813952112,ibm_brisbane
session_10_2_ibm_kyoto,0.0002909885664447454,0.00012733949375618925,ibm_kyoto
session_10_2_ibm_osaka,0.0002543629979523253,0.0001491082526032513,ibm_osaka
session_10_3_ibm_brisbane,0.0004463159726386266,0.00016910501631481906,ibm_brisbane
session_10_3_ibm_kyoto,0.000302530081817225,0.00015400423959163298,ibm_kyoto
session_10_3_ibm_osaka,0.0004633224143344644,0.00014089959549944004,ibm_osaka
session_10_4_ibm_brisbane,0.00040933546760057543,0.00020310592484542656,ibm_brisbane
session_10_4_ibm_kyoto,0.0004032624427959378,0.00014039457190022117,ibm_kyoto
session_10_4_ibm_osaka,0.00033374028491914433,0.00018409889748201237,ibm_osaka
session_10_5_ibm_brisbane,0.0005552889114207483,0.00013140489475547623,ibm_brisbane
session_10_5_ibm_kyoto,0.00026928540156818183,0.00010802196286575883,ibm_kyoto
session_10_5_ibm_osaka,0.0007286529464660636,0.0001326081741118667,ibm_osaka
session_11_0_ibm_brisbane,0.00032887345134704566,0.00011745173359513394,ibm_brisbane
session_11_0_ibm_kyoto,0.00017933059591079302,0.0001,ibm_kyoto
session_11_0_ibm_osaka,0.00023018391887321787,0.0001,ibm_osaka
session_11_1_ibm_brisbane,0.00039389288288495624,0.00011218267915502889,ibm_brisbane
session_11_1_ibm_kyoto,0.00016602646249519177,0.00010580032884919897,ibm_kyoto
session_11_1_ibm_osaka,0.0003218444719264371,0.00011751725751054027,ibm_osaka
session_11_2_ibm_brisbane,0.00028156826601628213,0.00014511319535693732,ibm_brisbane
session_11_2_ibm_kyoto,0.0002541175404075474,0.00011216972953356709,ibm_kyoto
session_11_2_ibm_osaka,0.00028654527139645704,0.0001,ibm_osaka
session_11_3_ibm_brisbane,0.0004608291967285369,0.00018241688322415885,ibm_brisbane
session_11_3_ibm_kyoto,0.00026627719758789986,0.00011578576276221589,ibm_kyoto
session_11_3_ibm_osaka,0.0003169953619499447,0.00010818593260567141,ibm_osaka
session_11_4_ibm_brisbane,0.0004312962576314653,0.00019729727849859626,ibm_brisbane
session_11_4_ibm_kyoto,0.0003180892236341765,0.00016219651723280683,ibm_kyoto
session_11_4_ibm_osaka,0.0005919335988202569,0.00013305786908845624,ibm_osaka
session_11_5_ibm_brisbane,0.00041577921871174204,0.00016427894869700517,ibm_brisbane
session_11_5_ibm_kyoto,0.0004984859702314248,0.00013899331006351966,ibm_kyoto
session_11_5_ibm_osaka,0.0002857176069021846,0.00014039887424264943,ibm_osaka
session_12_0_ibm_brisbane,0.0003137281491664768,0.00010585879835132408,ibm_brisbane
session_12_0_ibm_kyoto,0.0001992662683599527,0.00010447950543949515,ibm_kyoto
session_12_0_ibm_osaka,0.00024765658942074004,0.00010900276269163677,ibm_osaka
session_12_1_ibm_brisbane,0.00028760802621443765,0.00011908544345054141,ibm_brisbane
session_12_1_ibm_kyoto,0.0002302644553359088,0.00010356315916411335,ibm_kyoto
session_12_1_ibm_osaka,0.00033172006176948355,0.00012232767399794048,ibm_osaka
session_12_2_ibm_brisbane,0.0004037091325705537,0.0001557532837522859,ibm_brisbane
session_12_2_ibm_kyoto,0.0002684240498073697,0.00010666714206924938,ibm_kyoto
session_12_2_ibm_osaka,0.00028711689070389884,0.00021225959175635476,ibm_osaka
session_12_3_ibm_brisbane,0.0005975103293893803,0.00013689508062784175,ibm_brisbane
session_12_3_ibm_kyoto,0.00038596354003994095,0.00012252127751836997,ibm_kyoto
session_12_3_ibm_osaka,0.00024916571910783315,0.00015486421872815253,ibm_osaka
session_12_4_ibm_brisbane,0.0002955474247703632,0.00012821457185869256,ibm_brisbane
session_12_4_ibm_kyoto,0.000220491852156226,0.00013660306299459314,ibm_kyoto
session_12_4_ibm_osaka,0.00039160799406593436,0.00013855148435155455,ibm_osaka
session_12_5_ibm_brisbane,0.0005692620647179775,0.00018594379947420571,ibm_brisbane
session_12_5_ibm_kyoto,0.0005445487899319849,0.00012075913553956234,ibm_kyoto
session_12_5_ibm_osaka,0.00038841469296587507,0.00014297021930241438,ibm_osaka
session_13_0_ibm_brisbane,0.00027802395783516043,0.00011461203347672171,ibm_brisbane
