platform,session_id,time_since_calibration,calibration_interval,drift_magnitude,ler_baseline,ler_daqec,improvement_pct
ibm,0,1.0327939673336237,24.0,0.727,0.20857522193667544,0.21877202289513764,-4.888788257676172
ibm,1,17.567854603473723,24.0,0.727,0.23928437391429114,0.2701695827697376,-12.907323763025667
ibm,2,3.2013831404637187,24.0,0.727,0.20329577035822427,0.2192215424828634,-7.833794129890939
ibm,3,8.623460107393726,24.0,0.727,0.22399619094604406,0.2397636458032035,-7.039162045821345
ibm,4,6.754735246921508,24.0,0.727,0.2300758318202179,0.24664782938920446,-7.2028415318024255
ibm,5,5.977034196377973,24.0,0.727,0.205409120178983,0.21623191025073016,-5.268894614960006
ibm,6,16.982523318217943,24.0,0.727,0.22611517698620368,0.2452838304984753,-8.4773847416006
ibm,7,19.008822255730305,24.0,0.727,0.22886186946746523,0.268867287485866,-17.4801587138516
ibm,8,22.232043241420214,24.0,0.727,0.22276971968265855,0.2515341654439884,-12.912188336146205
ibm,9,6.131374170173072,24.0,0.727,0.2115720259953725,0.22880878913611488,-8.14699535992503
ibm,10,8.239288141022215,24.0,0.727,0.23300807039246407,0.24942589015867583,-7.046030525276924
ibm,11,2.35882716808558,24.0,0.727,0.21217431747625964,0.21387482816910772,-0.8014686758864416
ibm,12,10.917009657738069,24.0,0.727,0.2029752917066457,0.23152237014164875,-14.064312062308218
ibm,13,4.437040506274841,24.0,0.727,0.1986063514281795,0.2113433087014305,-6.413167142772353
ibm,14,12.746971915374075,24.0,0.727,0.22370817909069018,0.22977342765924427,-2.7112323712112762
ibm,15,8.506715151384565,24.0,0.727,0.22460263430883914,0.24137189721046934,-7.4661915490143675
ibm,16,9.865465695333906,24.0,0.727,0.21209523576506514,0.23195684961296043,-9.364479016348914
ibm,17,11.905448370426948,24.0,0.727,0.2067973164074383,0.2212463387813502,-6.987045395426703
ibm,18,6.150733387440131,24.0,0.727,0.2129685351656939,0.21670462924609554,-1.7542939277367406
ibm,19,7.756384247237267,24.0,0.727,0.2137932328658467,0.22344369136451547,-4.51392140401579
ibm,20,21.05584243696926,24.0,0.727,0.2285576924971275,0.25430668351506497,-11.265860595902309
ibm,21,20.30604233474119,24.0,0.727,0.22471438238200778,0.24846079456469103,-10.567375319268642
ibm,22,1.1550425419218406,24.0,0.727,0.21707058112176136,0.2229696844669887,-2.7175968824252386
ibm,23,14.294220303770924,24.0,0.727,0.22687661738316556,0.24568301495430916,-8.289262149647625
ibm,24,7.281033141081848,24.0,0.727,0.23542718312924096,0.24042671596854048,-2.1236005005228975
ibm,25,4.666801376012824,24.0,0.727,0.23164368190928303,0.24054343625417032,-3.8420017638869353
ibm,26,16.4614220775979,24.0,0.727,0.2212580116608016,0.2290250177715102,-3.5103841223231007
ibm,27,14.65864277993161,24.0,0.727,0.2388237713242184,0.2551088271613946,-6.818858837577025
ibm,28,8.406060605361874,24.0,0.727,0.2349589551913991,0.2429571256617105,-3.404071346757581
ibm,29,7.603981708577748,24.0,0.727,0.21276153133335537,0.22372918236618608,-5.154903221506974
ibm,30,19.965508767292075,24.0,0.727,0.24680533147905429,0.2755491459092128,-11.646350691819611
ibm,31,12.839102817386092,24.0,0.727,0.24059258276899836,0.26263623587341145,-9.162233037573728
ibm,32,12.285551579007121,24.0,0.727,0.23326884833964598,0.24896933549270417,-6.73064031687499
ibm,33,20.65289374168875,24.0,0.727,0.24807426048444123,0.25784064957706054,-3.9368812683538548
ibm,34,21.31465607760617,24.0,0.727,0.270486339609017,0.28196120959220733,-4.242310350968931
ibm,35,8.034062989716602,24.0,0.727,0.22284288691390858,0.2330093033091385,-4.562145346446499
ibm,36,18.08909351350024,24.0,0.727,0.24205605999858945,0.2592771846451578,-7.114519110436116
ibm,37,19.168705629691242,24.0,0.727,0.20289080284435002,0.20996569038916207,-3.4870420174933403
ibm,38,12.018780615413576,24.0,0.727,0.2594249647684883,0.2704885029655065,-4.264638989887252
ibm,39,6.4768553057508065,24.0,0.727,0.20641963083671602,0.22444829161075158,-8.733985571506402
ibm,40,22.394554614757677,24.0,0.727,0.24202148423070327,0.2585898574482148,-6.845827456259196
ibm,41,14.973581096049116,24.0,0.727,0.24599216254213097,0.25707388911644613,-4.504910424703959
ibm,42,15.927402181658774,24.0,0.727,0.22443600351771872,0.24947874152307203,-11.158075180828213
ibm,43,5.815638419793713,24.0,0.727,0.2182575969970307,0.224311271009563,-2.773637250580857
ibm,44,7.157876202209488,24.0,0.727,0.21281773196620252,0.22735121722666166,-6.829076283346162
ibm,45,3.6633058392059024,24.0,0.727,0.22048690305185098,0.23791568464813645,-7.904678851689806
ibm,46,23.301024839851593,24.0,0.727,0.26078760488587976,0.2830626111058857,-8.541435943534758
ibm,47,12.680193123653746,24.0,0.727,0.21044947682852436,0.2256170843378117,-7.207244103365485
ibm,48,6.194415143725788,24.0,0.727,0.21416953118269347,0.21917616089857087,-2.3376946703061052
ibm,49,23.651786740395664,24.0,0.727,0.2418653081103734,0.25505492486288545,-5.453290037979758
ibm,50,7.115992528825731,24.0,0.727,0.22189169199514386,0.23594431876339717,-6.333101812825354
ibm,51,10.19347515540258,24.0,0.727,0.24065527604181602,0.24614415346663132,-2.280804940200669
ibm,52,7.373784224245678,24.0,0.727,0.2329036111131056,0.24396910014521503,-4.751102389192101
ibm,53,16.55667874989033,24.0,0.727,0.2324069616448636,0.24724715195087474,-6.385432777477695
ibm,54,21.272632103577568,24.0,0.727,0.2558941688345024,0.2814870059965312,-10.001336598873728
ibm,55,19.613648955922965,24.0,0.727,0.21975578121125955,0.2254376155017932,-2.5855221005865086
ibm,56,18.5091981122341,24.0,0.727,0.23403789046995035,0.27703008948919006,-18.369760098636572
ibm,57,7.229373361199831,24.0,0.727,0.2138802366866189,0.22787959790941517,-6.545420670778657
ibm,58,19.81188417686151,24.0,0.727,0.21726601218130304,0.2381778610586097,-9.624997792961857
