drift_model,session_id,time_since_calibration,ler_baseline,ler_daqec,improvement_pct
gaussian,0,1.0327939673336237,0.20857522193667544,0.21877202289513764,-4.888788257676172
gaussian,1,17.567854603473723,0.23928437391429114,0.2701695827697376,-12.907323763025667
gaussian,2,3.2013831404637187,0.20329577035822427,0.2192215424828634,-7.833794129890939
gaussian,3,8.623460107393726,0.22399619094604406,0.2397636458032035,-7.039162045821345
gaussian,4,6.754735246921508,0.2300758318202179,0.24664782938920446,-7.2028415318024255
gaussian,5,5.977034196377973,0.205409120178983,0.21623191025073016,-5.268894614960006
gaussian,6,16.982523318217943,0.22611517698620368,0.2452838304984753,-8.4773847416006
gaussian,7,19.008822255730305,0.22886186946746523,0.268867287485866,-17.4801587138516
gaussian,8,22.232043241420214,0.22276971968265855,0.2515341654439884,-12.912188336146205
gaussian,9,6.131374170173072,0.2115720259953725,0.22880878913611488,-8.14699535992503
gaussian,10,8.239288141022215,0.23300807039246407,0.24942589015867583,-7.046030525276924
gaussian,11,2.35882716808558,0.21217431747625964,0.21387482816910772,-0.8014686758864416
gaussian,12,10.917009657738069,0.2029752917066457,0.23152237014164875,-14.064312062308218
gaussian,13,4.437040506274841,0.1986063514281795,0.2113433087014305,-6.413167142772353
gaussian,14,12.746971915374075,0.22370817909069018,0.22977342765924427,-2.7112323712112762
gaussian,15,8.506715151384565,0.22460263430883914,0.24137189721046934,-7.4661915490143675
gaussian,16,9.865465695333906,0.21209523576506514,0.23195684961296043,-9.364479016348914
gaussian,17,11.905448370426948,0.2067973164074383,0.2212463387813502,-6.987045395426703
gaussian,18,6.150733387440131,0.2129685351656939,0.21670462924609554,-1.7542939277367406
gaussian,19,7.756384247237267,0.2137932328658467,0.22344369136451547,-4.51392140401579
gaussian,20,21.05584243696926,0.2285576924971275,0.25430668351506497,-11.265860595902309
gaussian,21,20.30604233474119,0.22471438238200778,0.24846079456469103,-10.567375319268642
gaussian,22,1.1550425419218406,0.21707058112176136,0.2229696844669887,-2.7175968824252386
gaussian,23,14.294220303770924,0.22687661738316556,0.24568301495430916,-8.289262149647625
gaussian,24,7.281033141081848,0.23542718312924096,0.24042671596854048,-2.1236005005228975
gaussian,25,4.666801376012824,0.23164368190928303,0.24054343625417032,-3.8420017638869353
gaussian,26,16.4614220775979,0.2212580116608016,0.2290250177715102,-3.5103841223231007
gaussian,27,14.65864277993161,0.2388237713242184,0.2551088271613946,-6.818858837577025
gaussian,28,8.406060605361874,0.2349589551913991,0.2429571256617105,-3.404071346757581
gaussian,29,7.603981708577748,0.21276153133335537,0.22372918236618608,-5.154903221506974
gaussian,30,19.965508767292075,0.24680533147905429,0.2755491459092128,-11.646350691819611
gaussian,31,12.839102817386092,0.24059258276899836,0.26263623587341145,-9.162233037573728
gaussian,32,12.285551579007121,0.23326884833964598,0.24896933549270417,-6.73064031687499
gaussian,33,20.65289374168875,0.24807426048444123,0.25784064957706054,-3.9368812683538548
gaussian,34,21.31465607760617,0.270486339609017,0.28196120959220733,-4.242310350968931
gaussian,35,8.034062989716602,0.22284288691390858,0.2330093033091385,-4.562145346446499
gaussian,36,18.08909351350024,0.24205605999858945,0.2592771846451578,-7.114519110436116
gaussian,37,19.168705629691242,0.20289080284435002,0.20996569038916207,-3.4870420174933403
gaussian,38,12.018780615413576,0.2594249647684883,0.2704885029655065,-4.264638989887252
gaussian,39,6.4768553057508065,0.20641963083671602,0.22444829161075158,-8.733985571506402
gaussian,40,22.394554614757677,0.24202148423070327,0.2585898574482148,-6.845827456259196
gaussian,41,14.973581096049116,0.24599216254213097,0.25707388911644613,-4.504910424703959
gaussian,42,15.927402181658774,0.22443600351771872,0.24947874152307203,-11.158075180828213
gaussian,43,5.815638419793713,0.2182575969970307,0.224311271009563,-2.773637250580857
gaussian,44,7.157876202209488,0.21281773196620252,0.22735121722666166,-6.829076283346162
gaussian,45,3.6633058392059024,0.22048690305185098,0.23791568464813645,-7.904678851689806
gaussian,46,23.301024839851593,0.26078760488587976,0.2830626111058857,-8.541435943534758
gaussian,47,12.680193123653746,0.21044947682852436,0.2256170843378117,-7.207244103365485
gaussian,48,6.194415143725788,0.21416953118269347,0.21917616089857087,-2.3376946703061052
gaussian,49,23.651786740395664,0.2418653081103734,0.25505492486288545,-5.453290037979758
gaussian,50,7.115992528825731,0.22189169199514386,0.23594431876339717,-6.333101812825354
gaussian,51,10.19347515540258,0.24065527604181602,0.24614415346663132,-2.280804940200669
gaussian,52,7.373784224245678,0.2329036111131056,0.24396910014521503,-4.751102389192101
gaussian,53,16.55667874989033,0.2324069616448636,0.24724715195087474,-6.385432777477695
gaussian,54,21.272632103577568,0.2558941688345024,0.2814870059965312,-10.001336598873728
gaussian,55,19.613648955922965,0.21975578121125955,0.2254376155017932,-2.5855221005865086
gaussian,56,18.5091981122341,0.23403789046995035,0.27703008948919006,-18.369760098636572
gaussian,57,7.229373361199831,0.2138802366866189,0.22787959790941517,-6.545420670778657
gaussian,58,19.81188417686151,0.21726601218130304,0.2381778610586097,-9.624997792961857
gaussian,59,10.188422177979195,0.2624310020405435,0.28432703751398924,-8.343539941238726
gaussian,60,0.6833814354743266,0.22138037681323047,0.22943586724842796,-3.638755408747711
gaussian,61,7.182761784232844,0.20569309132755623,0.21618737348608355,-5.10191280163887
gaussian,62,4.102648446660049,0.21094334741143003,0.21954193624991195,-4.076255043829837
gaussian,63,19.37984068920904,0.23664672922877722,0.26135396200514355,-10.44055536152402
gaussian,64,20.62453788212753,0.265466223992026,0.29324715069696067,-10.464957193864755
gaussian,65,20.449435619407293,0.24629574179346755,0.2728000925043197,-10.761189177634051
gaussian,66,13.521644367546656,0.21052820219520502,0.23685026873892065,-12.502869577211989
gaussian,67,16.46979498664623,0.2409024209839151,0.2601728333294921,-7.999260558225637
gaussian,68,16.782806307501104,0.24482500729040965,0.2743405929281306,-12.055788730237754
gaussian,69,9.014135591197054,0.21298881417182053,0.2211927799428571,-3.8518294037819008
gaussian,70,10.465416464908085,0.24567008658806253,0.2638780430122325,-7.411548014268793
gaussian,71,22.800397905724008,0.24269255678780793,0.26007493095486656,-7.162302131192454
gaussian,72,3.064265621604286,0.20646768054244077,0.21459085460270927,-3.9343562338313403
gaussian,73,18.371830524697103,0.2505207667014119,0.270378480187672,-7.92657381171436
gaussian,74,9.92860160323802,0.20746989905661428,0.21747056291465874,-4.820296295278712
gaussian,75,22.287443430478987,0.22077234104109658,0.22996208233135573,-4.1625419411340525
gaussian,76,5.543080718788257,0.21461045194194114,0.23800121961091544,-10.899174507727254
gaussian,77,1.4069944577812237,0.2066181465561958,0.21462319382869632,-3.874319562886667
gaussian,78,4.8971452225681125,0.21546584635232538,0.23146449899557808,-7.4251455226421506
gaussian,79,14.96893708089442,0.23565234850843966,0.24282826709150018,-3.045129245891441
gaussian,80,5.5910997047143125,0.22046755622335024,0.23476290715162298,-6.484106402390781
gaussian,81,6.275478393389964,0.21308259872514448,0.2180651791383923,-2.3383328545165942
gaussian,82,5.444434885540875,0.2266784481762985,0.24296647281739742,-7.185519740469965
gaussian,83,13.735524879155973,0.22564982936999073,0.2367864023612891,-4.935334107006161
gaussian,84,15.061919658985822,0.2248559641292648,0.24483249352708278,-8.884144779159111
gaussian,85,13.921084180861499,0.22162245362730001,0.23993791057102004,-8.264260522320958
gaussian,86,4.463167492810469,0.2133763798868493,0.2163337732102643,-1.3859984525856548
gaussian,87,3.153803476163688,0.19950886281304075,0.20552759895623324,-3.0167763267903664
gaussian,88,14.52708570301266,0.21865853541256589,0.23232216860845284,-6.248845109159059
