distance,session_id,time_since_calibration,n_qubits,ler_baseline,ler_daqec,improvement_pct,platform
3,0,19.405297815315443,17,0.2174687921293918,0.2174687921293918,0.0,ibm
3,1,17.567854603473723,17,0.21053723726479365,0.21053723726479365,0.0,ibm
3,2,3.2013831404637187,17,0.190634925716023,0.190634925716023,0.0,ibm
3,3,8.623460107393726,17,0.2270617866216725,0.20977215500569657,7.614505229267708,ibm
3,4,6.754735246921508,17,0.20446391725795593,0.20446391725795593,0.0,ibm
3,5,5.977034196377973,17,0.18118556595546226,0.18118556595546226,0.0,ibm
3,6,16.982523318217943,17,0.20885514275296893,0.20885514275296893,0.0,ibm
3,7,19.008822255730305,17,0.22543007173170834,0.22543007173170834,0.0,ibm
3,8,22.232043241420214,17,0.19575405480152944,0.19575405480152944,0.0,ibm
3,9,6.131374170173072,17,0.204741358995873,0.204741358995873,0.0,ibm
3,10,8.239288141022215,17,0.20098162621881732,0.20098162621881732,0.0,ibm
3,11,2.35882716808558,17,0.20298831452061128,0.20298831452061128,0.0,ibm
3,12,10.917009657738069,17,0.1995098249462983,0.1963920840918409,1.5627004110181533,ibm
3,13,4.437040506274841,17,0.17825916028843883,0.17825916028843883,0.0,ibm
3,14,12.746971915374075,17,0.22009218388335575,0.20868031149120644,5.185042099540143,ibm
3,15,8.506715151384565,17,0.21080873553504342,0.21080873553504342,0.0,ibm
3,16,9.865465695333906,17,0.20870747257434138,0.20870747257434138,0.0,ibm
3,17,11.905448370426948,17,0.21412213233335714,0.21412213233335714,0.0,ibm
3,18,6.150733387440131,17,0.19349431914065623,0.19349431914065623,0.0,ibm
3,19,7.756384247237267,17,0.20887473182185382,0.20887473182185382,0.0,ibm
3,20,21.05584243696926,17,0.22183924581447145,0.22183924581447145,0.0,ibm
3,21,20.30604233474119,17,0.21937641310667788,0.21937641310667788,0.0,ibm
3,22,1.1550425419218406,17,0.20616037642621876,0.20616037642621876,0.0,ibm
3,23,14.294220303770924,17,0.2022251793040113,0.2022251793040113,0.0,ibm
3,24,7.281033141081848,17,0.23364747215877477,0.23364747215877477,0.0,ibm
3,25,4.666801376012824,17,0.2121443278769693,0.2121443278769693,0.0,ibm
3,26,16.4614220775979,17,0.19315836266181602,0.19315836266181602,0.0,ibm
3,27,14.65864277993161,17,0.23644526267656868,0.23644526267656868,0.0,ibm
3,28,8.406060605361874,17,0.23728585386056902,0.22355189365516834,5.7879388855059455,ibm
3,29,7.603981708577748,17,0.2048695183542372,0.2048695183542372,0.0,ibm
3,30,19.965508767292075,17,0.22912831579435058,0.22033005367754127,3.8398842527634223,ibm
3,31,12.839102817386092,17,0.2063455330955939,0.2063455330955939,0.0,ibm
3,32,12.285551579007121,17,0.21381249940233601,0.21381249940233601,0.0,ibm
3,33,20.65289374168875,17,0.21113346692666726,0.21113346692666726,0.0,ibm
3,34,21.31465607760617,17,0.23362676017916495,0.23362676017916495,0.0,ibm
3,35,8.034062989716602,17,0.21689749348509013,0.21689749348509013,0.0,ibm
3,36,18.08909351350024,17,0.2095982647109053,0.2095982647109053,0.0,ibm
3,37,19.168705629691242,17,0.19137913104989032,0.18429529503050363,3.7014673337293096,ibm
3,38,12.018780615413576,17,0.22526539696609127,0.22526539696609127,0.0,ibm
3,39,6.4768553057508065,17,0.18098937865938147,0.18098937865938147,0.0,ibm
3,40,22.394554614757677,17,0.2292393690788491,0.2292393690788491,0.0,ibm
3,41,14.973581096049116,17,0.21903909562878487,0.21903909562878487,0.0,ibm
3,42,15.927402181658774,17,0.2049783691439335,0.2049783691439335,0.0,ibm
3,43,5.815638419793713,17,0.20460338061046526,0.20460338061046526,0.0,ibm
3,44,7.157876202209488,17,0.19307425163172395,0.19307425163172395,0.0,ibm
3,45,3.6633058392059024,17,0.20336764710727107,0.20336764710727107,0.0,ibm
3,46,23.301024839851593,17,0.20255299680948455,0.20255299680948455,0.0,ibm
3,47,12.680193123653746,17,0.20141490094297923,0.20141490094297923,0.0,ibm
3,48,6.194415143725788,17,0.19895165874152657,0.19895165874152657,0.0,ibm
3,49,23.651786740395664,17,0.20814186163799026,0.20814186163799026,0.0,ibm
3,50,7.115992528825731,17,0.2105236363111703,0.2105236363111703,0.0,ibm
3,51,10.19347515540258,17,0.2233175526072196,0.2233175526072196,0.0,ibm
3,52,7.373784224245678,17,0.20753392426466655,0.20753392426466655,0.0,ibm
3,53,16.55667874989033,17,0.21201259570524159,0.21201259570524159,0.0,ibm
3,54,21.272632103577568,17,0.2108251975609231,0.2108251975609231,0.0,ibm
3,55,19.613648955922965,17,0.1941313053341034,0.1941313053341034,0.0,ibm
3,56,18.5091981122341,17,0.20791060868381242,0.20791060868381242,0.0,ibm
3,57,7.229373361199831,17,0.2068383160467282,0.2068383160467282,0.0,ibm
3,58,19.81188417686151,17,0.20408995089827608,0.20408995089827608,0.0,ibm
3,59,10.188422177979195,17,0.23301806618451068,0.23301806618451068,0.0,ibm
3,60,0.6833814354743266,17,0.20949508507758682,0.20949508507758682,0.0,ibm
3,61,7.182761784232844,17,0.18821401754913047,0.18821401754913047,0.0,ibm
3,62,4.102648446660049,17,0.1987686484670272,0.1987686484670272,0.0,ibm
3,63,19.37984068920904,17,0.20342944744805763,0.20342944744805763,0.0,ibm
3,64,20.62453788212753,17,0.26456199606750747,0.25342674873401355,4.2089368461872985,ibm
3,65,20.449435619407293,17,0.21360285997996353,0.21360285997996353,0.0,ibm
3,66,13.521644367546656,17,0.1874080783444785,0.1874080783444785,0.0,ibm
3,67,16.46979498664623,17,0.18770423055258856,0.18770423055258856,0.0,ibm
