platform,session_id,time_since_calibration,calibration_interval,drift_magnitude,ler_baseline,ler_daqec,improvement_pct
ibm,0,1.0327939673336237,24.0,0.727,0.20194405278521804,0.2038285075926201,-0.9331568726147742
ibm,1,17.567854603473723,24.0,0.727,0.2229431106403802,0.22530241617695834,-1.058254516051784
ibm,2,3.2013831404637187,24.0,0.727,0.19166853837599587,0.20513607339224954,-7.026471391895536
ibm,3,8.623460107393726,24.0,0.727,0.20927877588770757,0.22133993512022426,-5.763202303413858
ibm,4,6.754735246921508,24.0,0.727,0.21358771030788737,0.2325178937090671,-8.862955351640704
ibm,5,5.977034196377973,24.0,0.727,0.18786543469309505,0.18786543469309505,0.0
ibm,6,16.982523318217943,24.0,0.727,0.2107383236079469,0.22093120159818444,-4.836746262250886
ibm,7,19.008822255730305,24.0,0.727,0.2106596721719891,0.2303029219603423,-9.32463702512355
ibm,8,22.232043241420214,24.0,0.727,0.20596198778782066,0.22038273937633748,-7.0016568316348256
ibm,9,6.131374170173072,24.0,0.727,0.19980186451892987,0.21072745523471073,-5.468212592553529
ibm,10,8.239288141022215,24.0,0.727,0.21353057896866157,0.22171968208696521,-3.8350961992687274
ibm,11,2.35882716808558,24.0,0.727,0.1987244849445071,0.20019216642202808,-0.7385509027389537
ibm,12,10.917009657738069,24.0,0.727,0.186752971958732,0.2029752917066457,-8.686512229373482
ibm,13,4.437040506274841,24.0,0.727,0.18941172531680212,0.1963497863953566,-3.662952262828598
ibm,14,12.746971915374075,24.0,0.727,0.197823182437883,0.2074706097754047,-4.876793113239414
ibm,15,8.506715151384565,24.0,0.727,0.20840584001949525,0.21834892001009193,-4.771017928128386
ibm,16,9.865465695333906,24.0,0.727,0.2009440977923913,0.2048565835599991,-1.947051847051538
ibm,17,11.905448370426948,24.0,0.727,0.19235337666072702,0.2043387213596999,-6.230899039590371
ibm,18,6.150733387440131,24.0,0.727,0.19322558418627367,0.2021735616316098,-4.630845073140045
ibm,19,7.756384247237267,24.0,0.727,0.20092836592411348,0.20456732527742688,-1.8110729844325533
ibm,20,21.05584243696926,24.0,0.727,0.21045414860583556,0.21705532919343798,-3.1366359994955135
ibm,21,20.30604233474119,24.0,0.727,0.19650179362591239,0.21852016322436368,-11.205174869990485
ibm,22,1.1550425419218406,24.0,0.727,0.2074624625717591,0.2104620049495811,-1.445824146035324
ibm,23,14.294220303770924,24.0,0.727,0.20672073141369016,0.22041093393141614,-6.622559055448151
ibm,24,7.281033141081848,24.0,0.727,0.21780243809858402,0.2217610236483158,-1.8175120463711238
ibm,25,4.666801376012824,24.0,0.727,0.2169535660818061,0.22797117374352668,-5.078325219861193
ibm,26,16.4614220775979,24.0,0.727,0.210986142538636,0.2121964685359852,-0.5736518914400036
ibm,27,14.65864277993161,24.0,0.727,0.2146267407031722,0.23302641286077866,-8.572870322367297
ibm,28,8.406060605361874,24.0,0.727,0.221185415483636,0.22147083119780747,-0.12903912020935168
ibm,29,7.603981708577748,24.0,0.727,0.19947273834199514,0.20645961627000234,-3.5026730901082983
ibm,30,19.965508767292075,24.0,0.727,0.22998203510889073,0.23902890020012296,-3.933726861295391
ibm,31,12.839102817386092,24.0,0.727,0.22679372505739748,0.22959425294547636,-1.234834820659223
ibm,32,12.285551579007121,24.0,0.727,0.21332305052750622,0.2210402277139779,-3.6176011768951457
ibm,33,20.65289374168875,24.0,0.727,0.22310760015219755,0.22488986478527406,-0.7988363605097738
ibm,34,21.31465607760617,24.0,0.727,0.2440532173633391,0.24934782660097923,-2.169448653388445
ibm,35,8.034062989716602,24.0,0.727,0.21224859392808568,0.21969361407299312,-3.5076887941269352
ibm,36,18.08909351350024,24.0,0.727,0.22502354778553427,0.23322429358587723,-3.6443945005075404
ibm,37,19.168705629691242,24.0,0.727,0.18582367371676803,0.1897368909481297,-2.1058765834789126
ibm,38,12.018780615413576,24.0,0.727,0.22757066062640027,0.22757066062640027,0.0
ibm,39,6.4768553057508065,24.0,0.727,0.1931717965760563,0.20525842865371866,-6.256934134224698
ibm,40,22.394554614757677,24.0,0.727,0.2223595917131577,0.22275228598947372,-0.17660325479577127
ibm,41,14.973581096049116,24.0,0.727,0.22547530864785303,0.2373674774928776,-5.274266577719926
ibm,42,15.927402181658774,24.0,0.727,0.20359820436988516,0.2046324648551147,-0.5079909660453337
ibm,43,5.815638419793713,24.0,0.727,0.20190175215826206,0.21122973751115517,-4.620061615701735
ibm,44,7.157876202209488,24.0,0.727,0.1999066429384239,0.20724548392125375,-3.671134122886752
ibm,45,3.6633058392059024,24.0,0.727,0.20824831958461132,0.2169150948460573,-4.161750394304949
ibm,46,23.301024839851593,24.0,0.727,0.2319687125069641,0.24338765345376628,-4.922621168774803
ibm,47,12.680193123653746,24.0,0.727,0.19920901496877497,0.20813481843829473,-4.480622260452843
ibm,48,6.194415143725788,24.0,0.727,0.19328847599612312,0.20411352766681123,-5.600464080903221
ibm,49,23.651786740395664,24.0,0.727,0.22343368589479454,0.23086405309830754,-3.3255357954447615
ibm,50,7.115992528825731,24.0,0.727,0.21322197263994552,0.21603242019342753,-1.3180853355239468
ibm,51,10.19347515540258,24.0,0.727,0.23075303245474516,0.23093903041796354,-0.08060477526112893
ibm,52,7.373784224245678,24.0,0.727,0.21629960826348058,0.21994487899537427,-1.685287717883097
ibm,53,16.55667874989033,24.0,0.727,0.21876907151897562,0.21892387964349844,-0.0707632589231825
ibm,54,21.272632103577568,24.0,0.727,0.22764542302545265,0.2558941688345024,-12.40909895468941
ibm,55,19.613648955922965,24.0,0.727,0.20694458935713061,0.20882233206215653,-0.9073649670470177
ibm,56,18.5091981122341,24.0,0.727,0.21195399323978265,0.23920966322317425,-12.8592387276032
ibm,57,7.229373361199831,24.0,0.727,0.20307870854253138,0.20423810560722655,-0.5709102017715246
ibm,58,19.81188417686151,24.0,0.727,0.2016901761677364,0.20237141267358424,-0.33776385086861377
ibm,59,10.188422177979195,24.0,0.727,0.235276977965633,0.24110637965775403,-2.4776762021197594
ibm,60,0.6833814354743266,24.0,0.727,0.21196880400300103,0.21821472064916844,-2.946620695222202
ibm,61,7.182761784232844,24.0,0.727,0.1949146118483612,0.20569309132755623,-5.52984682727656
